ASX LISTED COMPANIES AS AT THU OCT 23 00:01:24 EST 2014
BLACK RANGE MINERALS LIMITED,BLR.AX,ENERGY
BLACK RIDGE MINING NL,BRD.AX,MATERIALS
BLACK STAR PETROLEUM LIMITED,BSP.AX,ENERGY
BLACKGOLD INTERNATIONAL HOLDINGS LIMITED,BGG.AX,ENERGY
BLACKHAM RESOURCES LIMITED,BLK.AX,MATERIALS
BLACKMORES LIMITED,BKL.AX,HOUSEHOLD & PERSONAL PRODUCTS
BLACKTHORN RESOURCES LIMITED,BTR.AX,MATERIALS
BLACKWALL PROPERTY FUNDS LIMITED,BWF.AX,DIVERSIFIED FINANCIALS
BLACKWALL PROPERTY TRUST,BWR.AX,REAL ESTATE
BLAZE INTERNATIONAL LIMITED,BLZ.AX,ENERGY
BLIGH RESOURCES LIMITED,BGH.AX,MATERIALS
BLINA MINERALS NL,BDI.AX,MATERIALS
BLUE ENERGY LIMITED,BUL.AX,ENERGY
BLUE SKY ALTERNATIVE INVESTMENTS LIMITED,BLA.AX,DIVERSIFIED FINANCIALS
BLUE SKY ALTERNATIVES ACCESS FUND LIMITED,BAF.AX,NOT APPLIC
BLUECHIIP LIMITED,BCT.AX,TECHNOLOGY HARDWARE & EQUIPMENT
BLUENERGY GROUP LIMITED,BEG.AX,MATERIALS
BLUESCOPE STEEL LIMITED,BSL.AX,MATERIALS
BLUESTONE GLOBAL LIMITED,BUE.AX,COMMERCIAL SERVICES & SUPPLIES
BLUGLASS LIMITED,BLG.AX,SEMICONDUCTORS & SEMICONDUCTOR EQUIPMENT
BMG RESOURCES LIMITED,BMG.AX,MATERIALS
BOADICEA RESOURCES LIMITED,BOA.AX,MATERIALS
BOART LONGYEAR LIMITED,BLY.AX,CAPITAL GOODS
BONE MEDICAL LIMITED,BNE.AX,PHARMACEUTICALS & BIOTECHNOLOGY
BOOM LOGISTICS LIMITED,BOL.AX,CAPITAL GOODS
BORA BORA RESOURCES LIMITED,BBR.AX,MATERIALS
BORAL LIMITED.,BLD.AX,MATERIALS
BOSS RESOURCES LIMITED,BOE.AX,ENERGY
BOTSWANA METALS LIMITED,BML.AX,MATERIALS
BOUGAINVILLE COPPER LIMITED,BOC.AX,MATERIALS
BOULDER STEEL LIMITED,BGD.AX,MATERIALS
BOUNTY MINING LTD,BNT.AX,ENERGY
BOUNTY OIL & GAS NL,BUY.AX,ENERGY
BP CAPITAL MARKETS PLC,BPB.AX,NOT APPLIC
BPH ENERGY LTD,BPH.AX,PHARMACEUTICALS & BIOTECHNOLOGY
BPS TECHNOLOGY LIMITED,BPS.AX,SOFTWARE & SERVICES
BRADKEN LIMITED,BKN.AX,CAPITAL GOODS
BRAIN RESOURCE LIMITED,BRC.AX,HEALTH CARE EQUIPMENT & SERVICES
BRAMBLES LIMITED,BXB.AX,COMMERCIAL SERVICES & SUPPLIES
BRAND NEW VINTAGE LIMITED,BNV.AX,FOOD, BEVERAGE & TOBACCO
BRAZIRON LIMITED,BZL.AX,MATERIALS
BREAKER RESOURCES NL,BRB.AX,MATERIALS
BREVILLE GROUP LIMITED,BRG.AX,RETAILING
BRICKWORKS LIMITED,BKW.AX,MATERIALS
BRIERTY LIMITED,BYL.AX,CAPITAL GOODS
BRIGHTON MINING GROUP LIMITED,BTN.AX,MATERIALS
BRISBANE BRONCOS LIMITED,BBL.AX,MEDIA
BRISCONNECTIONS UNIT TRUSTS,BCS.AX,TRANSPORTATION
BROAD INVESTMENTS LIMITED,BRO.AX,TELECOMMUNICATION SERVICES
BROCKMAN MINING LIMITED,BCK.AX,TRANSPORTATION
BROKEN HILL PROSPECTING LIMITED,BPL.AX,MATERIALS
BROOKFIELD PRIME PROPERTY FUND,BPA.AX,REAL ESTATE
BRUMBY RESOURCES LIMITED,BMY.AX,MATERIALS
BSA LIMITED,BSA.AX,COMMERCIAL SERVICES & SUPPLIES
BT INVESTMENT MANAGEMENT LIMITED,BTT.AX,DIVERSIFIED FINANCIALS
